Date,Symbol,Open,High,Low,Close,ATR14,BufPct,Buffer,GreenRail,RedRail
2025-11-21,BTCUSD,86531.87,87395.93,80524.65,85068.88,,0.15,,,
2025-11-22,BTCUSD,85068.85,85547.11,83441.91,84684.00,,0.15,,,
2025-11-23,BTCUSD,84683.99,88100.00,84614.11,86808.28,,0.15,,,
2025-11-24,BTCUSD,86808.28,89225.60,85213.17,88266.20,,0.15,,,
2025-11-25,BTCUSD,88264.0,88486.82,86067.02,87325.01,,0.15,,,
2025-11-26,BTCUSD,87325.0,90628.53,86266.95,90468.84,,0.15,,,
2025-11-27,BTCUSD,90468.83,91925.40,90067.81,91316.70,,0.15,,,
2025-11-28,BTCUSD,91316.7,93161.86,90220.50,90902.70,,0.15,,,
2025-11-29,BTCUSD,90902.69,91199.99,90200.00,90828.06,,0.15,,,
2025-11-30,BTCUSD,90829.68,91980.80,90353.96,90369.51,,0.15,,,
2025-12-01,BTCUSD,90364.0,90433.70,83800.00,86282.36,,0.15,,,
2025-12-02,BTCUSD,86282.35,92342.00,86181.38,91308.05,,0.15,,,
2025-12-03,BTCUSD,91308.05,94181.41,91024.47,93453.84,,0.15,,,
2025-12-04,BTCUSD,93452.02,94087.05,90904.73,92093.54,3558.25,0.15,533.738,94620.79,90370.99
2025-12-05,BTCUSD,92093.7,92716.42,88099.05,89345.29,3633.90,0.15,545.086,93261.51,87553.96
2025-12-06,BTCUSD,89345.29,90296.32,88932.00,89267.97,3471.79,0.15,520.769,90817.09,88411.23
2025-12-07,BTCUSD,89262.8,91779.99,87733.18,90402.29,3512.86,0.15,526.930,92306.92,87206.25
2025-12-08,BTCUSD,90402.3,92291.96,89599.00,90653.86,3454.30,0.15,518.145,92810.10,89080.86
2025-12-09,BTCUSD,90653.86,94640.66,89537.55,92690.00,3572.07,0.15,535.811,95176.47,89001.74
2025-12-10,BTCUSD,92690.0,94500.00,91556.64,92035.99,3527.16,0.15,529.075,95029.07,91027.57
2025-12-11,BTCUSD,92035.85,93594.76,89257.98,92542.00,3584.99,0.15,537.749,94132.51,88720.23
2025-12-12,BTCUSD,92539.63,92791.26,89500.00,90278.00,3564.01,0.15,534.602,93325.86,88965.40
2025-12-13,BTCUSD,90278.0,90657.00,89777.79,90255.32,3372.24,0.15,505.836,91162.84,89271.95
2025-12-14,BTCUSD,90255.32,90496.16,88380.00,88610.76,3282.52,0.15,492.378,90988.54,87887.62
2025-12-15,BTCUSD,88323.39,90064.74,85129.63,86417.50,3400.56,0.15,510.084,90574.82,84619.55
2025-12-16,BTCUSD,86417.5,88148.00,85250.00,87854.01,3364.67,0.15,504.700,88652.70,84745.30
2025-12-17,BTCUSD,87854.0,90336.36,85267.69,86209.77,3486.38,0.15,522.957,90859.32,84744.73
2025-12-18,BTCUSD,86209.79,89447.75,84400.00,85460.02,3597.91,0.15,539.686,89987.44,83860.31
2025-12-19,BTCUSD,85460.85,89365.85,85052.78,88092.65,3648.99,0.15,547.348,89913.20,84505.43
2025-12-20,BTCUSD,88092.65,88530.60,87780.00,88324.00,3441.96,0.15,516.294,89046.89,87263.71
2025-12-21,BTCUSD,88322.01,89046.44,87501.01,88639.95,3306.50,0.15,495.974,89542.41,87005.04
2025-12-22,BTCUSD,88639.87,90541.80,87846.17,88556.77,3262.86,0.15,489.429,91031.23,87356.74
2025-12-23,BTCUSD,88555.03,88896.63,86533.86,87429.32,3198.57,0.15,479.785,89376.42,86054.07
2025-12-24,BTCUSD,87429.32,88001.20,86350.00,87609.03,3088.04,0.15,463.206,88464.41,85886.79
2025-12-25,BTCUSD,87609.02,88534.40,86899.00,87171.68,2984.28,0.15,447.642,88982.04,86451.36
2025-12-26,BTCUSD,87171.46,89496.07,86569.53,87296.01,2980.16,0.15,447.024,89943.09,86122.51
2025-12-27,BTCUSD,87296.17,87914.62,86944.24,87808.00,2836.60,0.15,425.490,88340.11,86518.75
2025-12-28,BTCUSD,87806.75,88000.00,87352.36,87877.29,2680.25,0.15,402.037,88402.04,86950.32
2025-12-29,BTCUSD,87877.28,90325.00,86675.00,87110.78,2749.52,0.15,412.427,90737.43,86262.57
2025-12-30,BTCUSD,87110.77,89343.52,86704.98,88397.50,2741.59,0.15,411.238,89754.76,86293.74
2025-12-31,BTCUSD,88397.24,89100.00,87082.64,87497.94,2689.86,0.15,403.479,89503.48,86679.16
